texto,label
Podem esclarecer o laudo técnico referente ao ticket #7902 com urgência…,1
Notas rápidas: boletim referente à última sprint. Att.,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente…",0
Segue a release notes da semana com os principais destaques do produto… Obrigado!,0
Parabéns pelo lançamento da versão 2.5! Excelente trabalho do time!,0
Poderiam confirmar a nota fiscal para esta semana…,1
"Olá, poderiam substituir o deploy até o próximo dia útil, assim que puderem.",1
Segue a changelog da semana com os principais destaques do produto… Abs.,0
Publicamos as status update; obrigado a todos pelo apoio. Att.,0
Solicito o envio da nota fiscal NF-88709 até o próximo dia útil.,1
Conseguem anexar o comprovante de pagamento até 17h? Caráter emergencial.,1
Changelog 5.8 publicado. Sem necessidade de retorno. Att.,0
Podem renovar o cadastro referente ao ticket #4342 até o fim do dia…,1
Solicito o relatório financeiro até 17h…,1
Conseguem confirmar o documento até o próximo dia útil? Com bastante urgência.,1
Conseguem esclarecer a configuração do servidor até o próximo dia útil? Caráter emergencial.,1
Parabéns a todos pelo release 3.3!…,0
Segue a changelog da semana com os principais destaques do produto!,0
Estou com queda de conexão; conseguem notificar o webhook? Ref.: #5284,1
Podem cancelar a senha provisória referente ao ticket #6299 até sexta-feira.,1
Podem resetar as permissões de acesso referente ao ticket #5388 para esta semana.,1
Podem esclarecer o orçamento referente ao ticket #5284 até o próximo dia útil…,1
Notas rápidas: resumo semanal referente à última sprint… Abs.,0
Changelog 6.0 publicado. Sem necessidade de retorno…,0
"Olá, pessoal! Obrigado pela ajuda de ontem.",0
Parabéns pelo lançamento da versão 4.4! Excelente trabalho do time…,0
Conseguem validar o ambiente de homologação até amanhã? Com bastante urgência.,1
Publicamos as changelog; obrigado a todos pelo apoio. Abraços,0
Solicito o envio da nota fiscal NF-79613 com urgência!,1
Fala pessoal! Compartilhando o resumo semanal do time.,0
Podem habilitar o ambiente de homologação referente ao ticket #3643 em até 24h!,1
Favor reembolsar o banco de dados para esta semana…,1
"Time, pessoal! Obrigado pela ajuda de ontem.",0
Solicito o envio da nota fiscal NF-74595 até amanhã.,1
Solicito o envio da nota fiscal NF-10499 ainda hoje…,1
Changelog 7.8 publicado. Sem necessidade de retorno.,0
Poderiam confirmar a configuração do servidor até sexta-feira!,1
Precisamos instalar a atualização do sistema para o pedido PED-2019-5853 até 18/06.,1
Conseguem desbloquear o banco de dados até 17h? Com bastante urgência.,1
Solicito o ticket para esta semana…,1
Boa tarde! Compartilhando o resumo semanal do time… Bom trabalho a todos,0
Atualização interna: tarefas concluídas; nenhum retorno necessário… Bom trabalho a todos,0
Poderiam confirmar o comprovante de pagamento para esta semana.,1
Parabéns a todos pelo release 4.3!…,0
Apenas informando: status update disponível. Att.,0
Para conhecimento: status update publicada. Não requer ação… Obrigada!,0
Parabéns pelo lançamento da versão 3.1! Excelente trabalho do time.,0
"Oi, pessoal! Obrigado pela ajuda de ontem.",0
Sem pendências no momento; bom trabalho a todos… Att.,0
Estou com instabilidade no servidor; conseguem aprovar o pipeline de CI/CD? Ref.: #2633,1
Parabéns a todos pelo release 5.1!!,0
Parabéns a todos pelo release 3.3!!,0
Changelog 5.5 publicado. Sem necessidade de retorno.,0
Parabéns a todos pelo release 4.2!.,0
Podem publicar o backup referente ao ticket #8390 até o fim do dia!,1
Solicito o documento com urgência.,1
Solicito o envio da nota fiscal NF-28124 o quanto antes!,1
Precisamos revisar a configuração do servidor para o pedido PED-2024-4757 até 27/03!,1
Notas rápidas: boletim referente à última sprint. Abraços,0
Podem providenciar o build referente ao ticket #8398 até sexta-feira.,1
Apenas informando: status update disponível. Abs.,0
Favor revisar o webhook até 17h.,1
Parabéns pelo lançamento da versão 1.6! Excelente trabalho do time…,0
Precisamos anexar o pipeline de CI/CD para o pedido PED-2021-5054 até 26/05…,1
Bem-vindos ao time os novos integrantes… Obrigado!,0
Precisamos confirmar o acesso da conta para o pedido PED-2021-4089 até 14/11…,1
Bom dia! Compartilhando o resumo semanal do time. Att.,0
Solicito o cadastro ainda hoje.,1
Preciso que agendar a proposta até 17h.,1
Solicito o certificado SSL em até 24h.,1
Apenas informando: resumo semanal disponível.,0
Favor ajustar o ticket até 17h.,1
Precisamos cancelar o backup para o pedido PED-2021-9433 até 05/06!,1
Apenas informando: boletim disponível!,0
Changelog 5.6 publicado. Sem necessidade de retorno!,0
Segue a status update da semana com os principais destaques do produto!,0
"Fala pessoal, pessoal! Obrigado pela ajuda de ontem.",0
Favor confirmar o build até o próximo dia útil…,1
Atualização interna: tarefas concluídas; nenhum retorno necessário! Obrigado!,0
Apenas informando: boletim disponível. Att.,0
Solicito o envio da nota fiscal NF-17060 para esta semana…,1
Favor autorizar a nota fiscal até sexta-feira!,1
Changelog 2.6 publicado. Sem necessidade de retorno…,0
Changelog 3.1 publicado. Sem necessidade de retorno.,0
Parabéns a todos pelo release 5.3!!,0
Precisamos instalar o ticket para o pedido PED-2022-5061 até 12/05.,1
Time! Compartilhando o resumo semanal do time. Att.,0
"Registro de reunião: tudo certo, próximos passos já definidos internamente… Att.",0
Podem retornar o boleto referente ao ticket #5585 o quanto antes.,1
Precisamos validar o certificado SSL para o pedido PED-2024-411 até 25/03…,1
